nid,status,detail
659,updated,"Business Support"
658,updated,"Business Support"
657,updated,"Business Support"
655,updated,"Business Support"
654,updated,"Business Support"
644,updated,"Business Support"
642,updated,"Business Support"
639,updated,"Business Support"
638,updated,"Business Support"
637,updated,"Government Relations Services"
636,updated,"Government Relations Services"
632,updated,"Government Relations Services"
625,updated,"Business Support"
615,updated,"Business Support"
607,updated,"Accounting services"
601,updated,"Government Relations Services"
594,updated,"HR Services"
593,updated,"Office space services"
592,updated,"Accounting services"
591,updated,"Business Support"
589,updated,"Accounting services"
587,updated,"Government Relations Services"
586,updated,"HR Services"
585,updated,"Business Support"
580,updated,"Accounting services"
572,updated,"Business Support"
571,updated,"Business Support"
570,updated,"Business Support"
567,updated,"HR Services"
566,updated,"HR Services"
565,updated,"Government Relations Services"
564,updated,"Business Support"
563,updated,"HR Services"
560,updated,"HR Services"
559,updated,"Government Relations Services"
556,updated,"Government Relations Services"
555,updated,"HR Services"
554,updated,"Residency & Visas"
550,updated,"Government Relations Services"
547,updated,"Government Relations Services"
545,updated,"Business Support"
544,updated,"Business Support"
538,updated,"Business Support"
536,updated,"Government Relations Services"
533,updated,"Business Support"
532,updated,"Business Support"
531,updated,"Business Support"
530,updated,"Business Support"
529,updated,"Business Support"
528,updated,"Business Support"
527,updated,"HR Services"
525,updated,"HR Services"
522,updated,"Business Support"
521,updated,"HR Services"
516,updated,"Residency & Visas"
513,updated,"HR Services"
506,updated,"HR Services"
501,updated,"HR Services"
500,updated,"HR Services"
499,updated,"Business Support"
369,updated,"Residency & Visas"
368,updated,"Government Relations Services"
367,updated,"Business Support"
366,updated,"Government Relations Services"
365,updated,"Office space services"
362,updated,"Government Relations Services"
361,updated,"Business Support"
359,updated,"Government Relations Services"
358,updated,"Government Relations Services"
356,updated,"HR Services"
355,updated,"HR Services"
353,updated,"Accounting services"
347,updated,"HR Services"
346,updated,"HR Services"
345,updated,"HR Services"
333,updated,"Accounting services"
332,updated,"Accounting services"
325,updated,"Residency & Visas"
324,updated,"Residency & Visas"
321,updated,"Government Relations Services"
319,updated,"Business Support"
318,updated,"HR Services"
317,updated,"Government Relations Services"
311,updated,"HR Services"
310,updated,"Government Relations Services"
308,updated,"HR Services"
303,updated,"Business Support"
298,updated,"Business Support"
295,updated,"Accounting services"
290,updated,"Business Support"
271,updated,"Accounting services"
223,updated,"Business Support"
222,updated,"Business Support"
220,updated,"Business Support"
219,updated,"Business Support"
217,updated,"Business Support"
216,updated,"HR Services"
215,updated,"Business Support"
214,updated,"Government Relations Services"
213,updated,"Business Support"
211,updated,"Business Support"
210,updated,"Business Support"
209,updated,"Business Support"
208,updated,"Business Support"
207,updated,"Business Support"
203,updated,"Business Support"
202,updated,"Business Support"
201,updated,"Business Support"
200,updated,"Business Support"
199,updated,"HR Services"
196,updated,"Residency & Visas"
191,updated,"Business Support"
186,updated,"Office space services"
177,updated,"HR Services"
174,updated,"Business Support"
173,updated,"Government Relations Services"
172,updated,"Government Relations Services"
171,updated,"Residency & Visas"
170,updated,"Business Support"
169,updated,"Residency & Visas"
168,updated,"Business Support"
167,updated,"Business Support"
165,updated,"Business Support"
164,updated,"Business Support"
163,updated,"Business Support"
162,updated,"Office space services"
161,updated,"Accounting services"
160,updated,"Business Support"
159,updated,"Business Support"
158,updated,"Business Support"
157,updated,"Business Support"
156,updated,"Business Support"
154,updated,"Government Relations Services"
153,updated,"Business Support"
151,updated,"Business Support"
150,updated,"Government Relations Services"
149,updated,"Business Support"
148,updated,"Business Support"
147,updated,"Business Support"
146,updated,"Business Support"
144,updated,"Business Support"
143,updated,"Business Support"
139,updated,"Business Support"
138,updated,"Business Support"
133,updated,"Business Support"
9,updated,"Business Support"
8,updated,"Business Support"
